,,,SUMMARY,,,,,
,,,,,,,,
,Total Books,,Total Revenue,,Average Rating,,,
,72818,," 4,56,63,945.90 ",,4.46,,,
,,,,,,,,
,,,,,,,,
Name,Author,Narrator,Time_in_min,ReleaseDate,Language,Stars,Ratings_Count,Price
Geronimo Stilton #11 & #12,GeronimoStilton,BillLobely,140,04-08-2008,English,5,34,468
The Burning Maze,RickRiordan,RobbieDaymond,788,01-05-2018,English,4.5,41,820
The Deep End,JeffKinney,DanRussell,123,06-11-2020,English,4.5,38,410
Daughter of the Deep,RickRiordan,SoneelaNankani,676,05-10-2021,English,4.5,12,615
"The Lightning Thief: Percy Jackson, Book 1",RickRiordan,JesseBernstein,600,13-01-2010,English,4.5,181,820
The Hunger Games: Special Edition,SuzanneCollins,TatianaMaslany,635,30-10-2018,English,5,72,656
Quest for the Diamond Sword,WinterMorgan,LukeDaniels,143,25-11-2014,English,5,11,233
The Dark Prophecy,RickRiordan,RobbieDaymond,752,02-05-2017,English,5,50,820
Merlin Mission Collection,MaryPopeOsborne,MaryPopeOsborne,656,02-05-2017,English,5,5,"1,256.00"
The Tyrant’s Tomb,RickRiordan,RobbieDaymond,802,24-09-2019,English,5,58,820
"The Titan's Curse: Percy Jackson, Book 3",RickRiordan,JesseBernstein,528,14-01-2010,English,4.5,130,820
Magic Tree House Collection: Books 9-16,MaryPopeOsborne,MaryPopeOsborne,323,24-08-2011,English,5,6,"1,206.00"
Magic Tree House Collection: Books 1-8,MaryPopeOsborne,MaryPopeOsborne,361,27-09-2011,English,5,7,"1,206.00"
Magnus Chase and the Ship of the Dead,RickRiordan,MichaelCrouch,778,03-10-2017,English,5,41,820
Northern Lights,PhilipPullman,"PhilipPullman,fullcast,RuthWilson",715,24-06-2021,English,4,2,"1,093.00"
Geronimo Stilton #13 and #14,GeronimoStilton,BillLobley,145,08-02-2008,English,4.5,33,467
Magic Tree House Collection,MaryPopeOsborne,MaryPopeOsborne,304,26-12-2004,English,5,7,"1,206.00"
Exile,ShannonMessenger,CaitlinKelly,881,06-11-2018,English,5,20,836
Merlin Mission Collection,MaryPopeOsborne,MaryPopeOsborne,618,02-05-2017,English,5,11,"1,256.00"
Neverseen,ShannonMessenger,CaitlinKelly,1002,06-11-2018,English,5,13,"1,003.00"
The Tower of Nero,RickRiordan,RobbieDaymond,732,06-10-2020,English,5,79,615
"Eldest: The Inheritance Cycle, Book 2",ChristopherPaolini,GerrardDoyle,1409,14-04-2009,English,4.5,47,957
Artemis Fowl,EoinColfer,GerryO'Brien,406,11-04-2013,English,5,27,683
Geronimo Stilton 22 & 24,GeronimoStilton,BillLobley,157,01-02-2011,English,4.5,25,469
Percy Jackson and the Battle of the Labyrinth,RickRiordan,JesseBernstein,632,21-01-2010,English,5,101,820
Winnie-the-Pooh,A.A.Milne,PeterDennis,166,28-12-2003,English,5,15,468
Magic Tree House Collection: Books 25-32,MaryPopeOsborne,MaryPopeOsborne,429,01-09-2020,English,5,3,"1,256.00"
Geronimo Stilton #20 and #21,GeronimoStilton,BillLobley,152,01-10-2010,English,5,18,469
The Red Pyramid,RickRiordan,"JaneCollingwood,JosephMay",824,24-01-2013,English,4.5,37,820
Mystery of the Griefer's Mark,WinterMorgan,LukeDaniels,113,25-11-2014,English,5,9,233
Geronimo Stilton #17,GeronimoStilton,BillLobley,148,13-07-2009,English,5,8,468
The House at Pooh Corner,A.A.Milne,PeterDennis,192,05-04-2005,English,5,5,374
Mission Unstoppable,DanGutman,MichaelGoldstrom,368,01-08-2013,English,5,8,702
Darkness of Dragons,TuiT.Sutherland,ShannonMcManus,626,01-08-2017,English,5,8,656
"14 Short Stories Bundle for Kids: Adventure, Science Fiction, Aesop’s Fables, Classic Fairy Tales and Christmas Story Books for Children",NayomiPhillips,"MonicaRachelle,JimD.Johnston,KatieOtten",193,22-01-2019,English,No Rating,,501
The Adventures of Rusty,RuskinBond,NehaGargava,341,01-11-2018,Hindi,4.5,10,284
